spl,tms,tdi,tdo
259,0,1,0  
260,0,1,0  
261,0,1,0  
262,0,1,0  
263,0,1,0  
264,0,0,0  
265,1,1,0  
266,1,1,0  
267,0,1,0  
268,0,0,0  
269,1,0,0  
270,1,0,0  
271,0,0,0  
272,0,0,0  
273,0,0,1  
274,0,0,0  
275,0,1,0  
276,0,0,0  
277,0,1,0  
278,0,1,0  
279,0,0,0  
280,1,1,0  
281,1,1,0  
282,0,1,0  
283,1,0,0  
284,0,0,0  
285,0,0,0  
286,0,0,0  
287,0,0,0  
288,0,0,0  
289,0,1,0  
290,0,0,0  
291,0,0,0  
292,0,0,0  
293,0,1,0  
294,0,0,0  
295,0,1,0  
296,0,1,0  
297,0,0,0  
298,0,1,0  
299,0,1,0  
300,0,0,0  
301,0,0,0  
302,0,0,0  
303,0,1,0  
304,0,0,0  
305,0,1,0  
306,0,1,0  
307,0,1,0  
308,0,1,0  
309,0,1,0  
310,0,1,0  
311,0,1,0  
312,0,1,0  
313,0,1,0  
314,0,1,0  
315,0,1,0  
316,0,1,0  
317,0,1,0  
318,1,1,0  
319,1,1,0  
320,0,1,0  
321,0,0,0  
322,1,0,0  
323,1,0,0  
324,0,0,0  
325,0,0,0  
326,0,0,1  
327,0,0,0  
328,0,1,0  
329,0,0,0  
330,0,1,0  
331,0,1,0  
332,0,1,0  
333,1,0,0  
334,1,0,0  
335,0,0,0  
336,1,0,0  
337,0,0,0  
338,0,0,0  
339,0,0,1  
340,0,1,0  
341,0,1,0  
342,0,0,0  
343,0,0,0  
344,0,1,0  
345,0,0,0  
346,0,1,0  
347,0,0,0  
348,0,1,0  
349,0,0,0  
350,0,1,0  
351,0,1,1  
352,0,1,0  
353,0,1,0  
354,0,1,0  
355,0,1,0  
356,0,1,0  
357,0,0,0  
358,0,0,0  
359,0,1,0  
360,0,1,0  
361,0,0,0  
362,0,0,0  
363,0,0,0  
364,0,0,0  
365,0,1,0  
366,0,1,0  
367,0,1,0  
368,0,1,0  
369,0,1,0  
370,0,0,0  
371,1,1,0  
372,1,1,0  
373,0,1,0  
374,0,0,0  
375,1,0,0  
376,1,0,0  
377,0,0,0  
378,0,0,0  
379,0,0,1  
380,0,0,0  
381,0,1,0  
382,0,0,0  
383,0,1,0  
384,0,0,0  
385,0,1,0  
386,1,0,0  
387,1,0,0  
388,0,0,0  
389,1,0,0  
390,0,0,0  
391,0,0,0  
392,0,0,1  
393,0,0,0  
394,0,1,0  
395,0,0,0  
396,0,1,0  
397,0,0,0  
398,0,1,0  
399,0,0,0  
400,0,0,0  
401,0,0,0  
402,0,0,0  
403,0,0,0  
404,0,0,1  
405,0,0,0  
406,0,0,0  
407,0,0,0  
408,0,0,0  
409,0,0,0  
410,0,0,0  
411,0,0,0  
412,0,0,0  
413,0,0,0  
414,0,0,0  
415,0,0,0  
416,0,0,0  
417,0,0,0  
418,0,0,0  
419,0,0,0  
420,0,0,0  
421,0,0,0  
422,0,0,0  
423,0,0,0  
424,1,0,0  
425,1,0,0  
426,0,0,0  
427,0,0,0  
428,1,0,0  
429,1,0,0  
430,0,0,0  
431,0,0,0  
432,0,0,1  
433,0,0,0  
434,0,1,0  
435,0,0,0  
436,0,1,0  
437,0,0,0  
438,0,1,0  
439,1,0,0  
440,1,0,0  
441,0,0,0  
442,1,0,0  
443,0,0,0  
444,0,0,0  
445,0,0,1  
446,0,0,0  
447,0,1,0  
448,0,0,0  
449,0,1,0  
450,0,0,0  
451,0,1,0  
452,0,0,0  
453,0,0,0  
454,0,0,0  
455,0,0,0  
456,0,0,0  
457,0,0,1  
458,0,0,0  
459,0,0,0  
460,0,0,0  
461,0,0,0  
462,0,0,0  
463,0,0,0  
464,0,0,0  
465,0,0,0  
466,0,0,0  
467,0,0,0  
468,0,0,0  
469,0,0,0  
470,0,0,0  
471,0,0,0  
472,0,0,0  
473,0,0,0  
474,0,0,0  
475,0,0,0  
476,0,0,0  
477,1,0,0  
478,1,0,0  
479,0,0,0  
